group_id,suspicious,severity,group_size,label_min,label_max,label_range,label_mean,rel_range,max_min_ratio,fc_values_in_group,type_values_in_group,source_row,Ref.No.,fc (MPa),type (规格备注),试件标号,fy (MPa),fcy150,R再生骨料取代率(%),b (mm),h (mm),t (mm),r0 (mm),L (mm),e1 (mm),e2 (mm),Nexp (kN)
1312,,low,2,1064.0,1080.0,16.0,1072.0,0.014925,1.015038,40.5,Cylinder 100x200,1685,"Behavior of Centrally Loaded Concrete-Filled Steel-Tube Short Columns, Kenji Sakino; Hiroyuki Nakahara; Shosuke Morino; Isao Nishiyama, Journal of Structural Engineering, 2004",40.5,Cylinder 100x200,CC4-A-4-1,308,38.702,0,149,149,2.96,74.5,298,0,0,1064
1591,,low,2,1064.0,1080.0,16.0,1072.0,0.014925,1.015038,40.5,cylinder,2067,"Reliability-based evaluation of design code provisions for circular concrete-filled steel columns, André T. Beck; Walter L.A. de Oliveira; Silvana De Nardim; Ana L.H.C. ElDebs, Engineering Structures, 2009",40.5,cylinder,R8-3,308,40.5,0,149,149,2.96,74.5,447,0,0,1080
1591,,low,2,1064.0,1080.0,16.0,1072.0,0.014925,1.015038,40.5,cylinder,2066,"Reliability-based evaluation of design code provisions for circular concrete-filled steel columns, André T. Beck; Walter L.A. de Oliveira; Silvana De Nardim; Ana L.H.C. ElDebs, Engineering Structures, 2009",40.5,cylinder,R8-2,308,40.5,0,149,149,2.96,74.5,447,0,0,1064
4440,,low,2,1064.0,1080.0,16.0,1072.0,0.014925,1.015038,40.5,fcy100,6034,"K. Sakino, H. Nakahara, S. Morino, I. Nishiyama, Behavior of centrally loaded concrete-filled steel-tube short columns, J Struct Eng, 2004;130: 180-188.",40.5,fcy100,CC4-A-4-2,308,38.70194596,0,149,149,2.96,74.5,447,0,0,1080
4440,,low,2,1064.0,1080.0,16.0,1072.0,0.014925,1.015038,40.5,fcy100,6033,"K. Sakino, H. Nakahara, S. Morino, I. Nishiyama, Behavior of centrally loaded concrete-filled steel-tube short columns, J Struct Eng, 2004;130: 180-188.",40.5,fcy100,CC4-A-4-1,308,38.70194596,0,149,149,2.96,74.5,447,0,0,1064
4251,,low,3,2636.1,2675.3,39.2,2662.1667,0.014725,1.01487,24.26,fcu150,5745,"Vanessa da S. de Azevedo, Luciano R.O. de Lima, Pedro C.G. da S. Vellasco, Maria E. da N. Tavares, Tak-Ming Chan,Experimental investigation on recycled aggregate concrete filled steel tubular stub columns under axial compression,Journal of Constructional Steel Research,Volume 187,2021",24.26,fcu150,C7-178-30-C00,165.1,18.88706369,0,178,178,6.56,89,558.67,0,0,2675.3
4251,,low,3,2636.1,2675.3,39.2,2662.1667,0.014725,1.01487,24.26,fcu150,5747,"Vanessa da S. de Azevedo, Luciano R.O. de Lima, Pedro C.G. da S. Vellasco, Maria E. da N. Tavares, Tak-Ming Chan,Experimental investigation on recycled aggregate concrete filled steel tubular stub columns under axial compression,Journal of Constructional Steel Research,Volume 187,2021",24.26,fcu150,C9-178-30-C00,165.1,18.88706369,0,178,178,6.56,89,558.67,0,0,2675.1
4251,,low,3,2636.1,2675.3,39.2,2662.1667,0.014725,1.01487,24.26,fcu150,5746,"Vanessa da S. de Azevedo, Luciano R.O. de Lima, Pedro C.G. da S. Vellasco, Maria E. da N. Tavares, Tak-Ming Chan,Experimental investigation on recycled aggregate concrete filled steel tubular stub columns under axial compression,Journal of Constructional Steel Research,Volume 187,2021",24.26,fcu150,C8-178-30-C00,165.1,18.88706369,0,178,178,6.56,89,558.67,0,0,2636.1
1425,,low,2,2783.0,2824.0,41.0,2803.5,0.014625,1.014732,85.2,cube,1877,"Tests and calculations for hollow structural steel (HSS) stub columns filled with self-consolidating concrete (SCC), Lin-Hai Han; Guo-Huang Yao; Xiao-Ling Zhao, Unknown, 2005",85.2,cube,CA4-2,282,75.627,0,200,200,1.87,100,600,0,0,2824
1425,,low,2,2783.0,2824.0,41.0,2803.5,0.014625,1.014732,85.2,cube,1876,"Tests and calculations for hollow structural steel (HSS) stub columns filled with self-consolidating concrete (SCC), Lin-Hai Han; Guo-Huang Yao; Xiao-Ling Zhao, Unknown, 2005",85.2,cube,CA4-1,282,75.627,0,200,200,1.87,100,600,0,0,2783
