group_id,suspicious,severity,group_size,label_min,label_max,label_range,label_mean,rel_range,max_min_ratio,fc_values_in_group,type_values_in_group,source_row,Ref.No.,fc (MPa),type (规格备注),试件标号,fy (MPa),fcy150,R再生骨料取代率(%),b (mm),h (mm),t (mm),r0 (mm),L (mm),e1 (mm),e2 (mm),Nexp (kN)
441,Y,high,12,230.0,637.0,407.0,428.5833,0.94964,2.769565,39.73,cube,619,"高温后不同截面钢管混凝土轴压构件的实验研究, 姜绍飞; 刘明, Unknown, 2002",39.73,cube,C-700,227.7,32.633,0,100,75,2.86,0,300,0,0,325
441,Y,high,12,230.0,637.0,407.0,428.5833,0.94964,2.769565,39.73,cube,620,"高温后不同截面钢管混凝土轴压构件的实验研究, 姜绍飞; 刘明, Unknown, 2002",39.73,cube,C-800,227.7,32.633,0,100,75,2.86,0,300,0,0,265
441,Y,high,12,230.0,637.0,407.0,428.5833,0.94964,2.769565,39.73,cube,621,"高温后不同截面钢管混凝土轴压构件的实验研究, 姜绍飞; 刘明, Unknown, 2002",39.73,cube,C-900,227.7,32.633,0,100,75,2.86,0,300,0,0,230
924,Y,high,2,454.0,1114.0,660.0,784.0,0.841837,2.453744,50,cylinder,1272,"STRENGTH OF CONCRETE FILLED STEEL BOX COLUMNNS INCORPORATING LOCAL BUCKLING, Brian Uy, Journal of Structural Engineering, 2000",50,cylinder,HS1,300,50,0,126,126,3,0,360,0,0,1114
924,Y,high,2,454.0,1114.0,660.0,784.0,0.841837,2.453744,50,cylinder,1276,"STRENGTH OF CONCRETE FILLED STEEL BOX COLUMNNS INCORPORATING LOCAL BUCKLING, Brian Uy, Journal of Structural Engineering, 2000",50,cylinder,HS5,300,50,0,126,126,3,0,360,0,0,454
2167,Y,high,3,950.0,2220.0,1270.0,1773.3333,0.716165,2.336842,64.5,Cylinder 150x300,2943,"Mechanical Behavior of Circular Steel-Concrete Composite Stub Columns, Mathias Johansson; Kent Gylltoft, Journal of Structural Engineering, 2002",64.5,Cylinder 150x300,SFC,433,64.5,0,159,159,4.8,79.5,650,0,0,2220
2167,Y,high,3,950.0,2220.0,1270.0,1773.3333,0.716165,2.336842,64.5,Cylinder 150x300,2942,"Mechanical Behavior of Circular Steel-Concrete Composite Stub Columns, Mathias Johansson; Kent Gylltoft, Journal of Structural Engineering, 2002",64.5,Cylinder 150x300,SFE,433,64.5,0,159,159,4.8,79.5,650,0,0,2150
2167,Y,high,3,950.0,2220.0,1270.0,1773.3333,0.716165,2.336842,64.5,Cylinder 150x300,2944,"Mechanical Behavior of Circular Steel-Concrete Composite Stub Columns, Mathias Johansson; Kent Gylltoft, Journal of Structural Engineering, 2002",64.5,Cylinder 150x300,SFS,433,64.5,0,159,159,4.8,79.5,650,0,0,950
3578,Y,high,7,1058.2,2226.7,1168.5,1654.7429,0.706152,2.104234,62.3,fck100x100x300,5045,"Structures | Experimental and theoretical study on the eccentric compression performance of novel L-shaped composite columns composed of HGM-filled square steel tubes | Zhou Yan, Lei Honggang | 2025",62.3,fck100x100x300,EL-C-30-135°,405,59.53410453,0,100,100,4,0,1500,30,30,2226.7
3578,Y,high,7,1058.2,2226.7,1168.5,1654.7429,0.706152,2.104234,62.3,fck100x100x300,5044,"Structures | Experimental and theoretical study on the eccentric compression performance of novel L-shaped composite columns composed of HGM-filled square steel tubes | Zhou Yan, Lei Honggang | 2025",62.3,fck100x100x300,EL-C-30-45°,405,59.53410453,0,100,100,4,0,1500,30,30,2083.1
3578,Y,high,7,1058.2,2226.7,1168.5,1654.7429,0.706152,2.104234,62.3,fck100x100x300,5046,"Structures | Experimental and theoretical study on the eccentric compression performance of novel L-shaped composite columns composed of HGM-filled square steel tubes | Zhou Yan, Lei Honggang | 2025",62.3,fck100x100x300,EL-C-30-0°,405,59.53410453,0,100,100,4,0,1500,30,30,2020
3578,Y,high,7,1058.2,2226.7,1168.5,1654.7429,0.706152,2.104234,62.3,fck100x100x300,4995,"Structures | Experimental and theoretical study on the eccentric compression performance of novel L-shaped composite columns composed of HGM-filled square steel tubes | Zhou Yan, Lei Honggang | 2025",62.3,fck100x100x300,EL-C-30-180°,405,59.53410453,0,100,100,4,0,1500,30,30,1882.4
3578,Y,high,7,1058.2,2226.7,1168.5,1654.7429,0.706152,2.104234,62.3,fck100x100x300,5047,"Structures | Experimental and theoretical study on the eccentric compression performance of novel L-shaped composite columns composed of HGM-filled square steel tubes | Zhou Yan, Lei Honggang | 2025",62.3,fck100x100x300,EL-30-0°,405,59.53410453,0,100,100,4,0,1500,30,30,1222.9
3578,Y,high,7,1058.2,2226.7,1168.5,1654.7429,0.706152,2.104234,62.3,fck100x100x300,5042,"Structures | Experimental and theoretical study on the eccentric compression performance of novel L-shaped composite columns composed of HGM-filled square steel tubes | Zhou Yan, Lei Honggang | 2025",62.3,fck100x100x300,EL-30-135°,405,59.53410453,0,100,100,4,0,1500,30,30,1089.9
3578,Y,high,7,1058.2,2226.7,1168.5,1654.7429,0.706152,2.104234,62.3,fck100x100x300,5043,"Structures | Experimental and theoretical study on the eccentric compression performance of novel L-shaped composite columns composed of HGM-filled square steel tubes | Zhou Yan, Lei Honggang | 2025",62.3,fck100x100x300,EL-30-45°,405,59.53410453,0,100,100,4,0,1500,30,30,1058.2
440,Y,high,9,541.0,1090.0,549.0,848.5556,0.646982,2.014787,20.02,cube,601,"高温后不同截面钢管混凝土轴压构件的实验研究, 姜绍飞; 刘明, Unknown, 2002",20.02,cube,B-20,265.3,15.252,0,120,120,6,0,360,0,0,1090
440,Y,high,9,541.0,1090.0,549.0,848.5556,0.646982,2.014787,20.02,cube,603,"高温后不同截面钢管混凝土轴压构件的实验研究, 姜绍飞; 刘明, Unknown, 2002",20.02,cube,B-300,265.3,15.252,0,120,120,6,0,360,0,0,1008
440,Y,high,9,541.0,1090.0,549.0,848.5556,0.646982,2.014787,20.02,cube,602,"高温后不同截面钢管混凝土轴压构件的实验研究, 姜绍飞; 刘明, Unknown, 2002",20.02,cube,B-200,265.3,15.252,0,120,120,6,0,360,0,0,984
440,Y,high,9,541.0,1090.0,549.0,848.5556,0.646982,2.014787,20.02,cube,605,"高温后不同截面钢管混凝土轴压构件的实验研究, 姜绍飞; 刘明, Unknown, 2002",20.02,cube,B-500,265.3,15.252,0,120,120,6,0,360,0,0,918
440,Y,high,9,541.0,1090.0,549.0,848.5556,0.646982,2.014787,20.02,cube,606,"高温后不同截面钢管混凝土轴压构件的实验研究, 姜绍飞; 刘明, Unknown, 2002",20.02,cube,B-600,265.3,15.252,0,120,120,6,0,360,0,0,897
440,Y,high,9,541.0,1090.0,549.0,848.5556,0.646982,2.014787,20.02,cube,604,"高温后不同截面钢管混凝土轴压构件的实验研究, 姜绍飞; 刘明, Unknown, 2002",20.02,cube,B-400,265.3,15.252,0,120,120,6,0,360,0,0,858
440,Y,high,9,541.0,1090.0,549.0,848.5556,0.646982,2.014787,20.02,cube,607,"高温后不同截面钢管混凝土轴压构件的实验研究, 姜绍飞; 刘明, Unknown, 2002",20.02,cube,B-700,265.3,15.252,0,120,120,6,0,360,0,0,673
440,Y,high,9,541.0,1090.0,549.0,848.5556,0.646982,2.014787,20.02,cube,608,"高温后不同截面钢管混凝土轴压构件的实验研究, 姜绍飞; 刘明, Unknown, 2002",20.02,cube,B-800,265.3,15.252,0,120,120,6,0,360,0,0,668
440,Y,high,9,541.0,1090.0,549.0,848.5556,0.646982,2.014787,20.02,cube,609,"高温后不同截面钢管混凝土轴压构件的实验研究, 姜绍飞; 刘明, Unknown, 2002",20.02,cube,B-900,265.3,15.252,0,120,120,6,0,360,0,0,541
