Ref.No.,fc (MPa),type (规格备注),试件标号,fy (MPa),fcy150,R再生骨料取代率(%),b (mm),h (mm),t (mm),r0 (mm),L (mm),e1 (mm),e2 (mm),Nexp (kN)
"Mechanical behavior of spiral stirrup reinforced concrete filled square steel tubular columns under compression, Zongping Chen; Ji Zhou; Chenggui Jing; Qiuhong Tan, Engineering Structures, 2021",28.3,cube,SE6,379,22.411,0,200,200,3.51,0,1600,80,80,804
"Mechanical behavior of spiral stirrup reinforced concrete filled square steel tubular columns under compression, Zongping Chen; Ji Zhou; Chenggui Jing; Qiuhong Tan, Engineering Structures, 2021",28.3,cube,SE7,379,22.411,0,200,200,3.51,0,1600,80,80,811
"Mechanical behavior of spiral stirrup reinforced concrete filled square steel tubular columns under compression, Zongping Chen; Ji Zhou; Chenggui Jing; Qiuhong Tan, Engineering Structures, 2021",28.3,cube,SE8,379,22.411,0,200,200,3.51,0,1600,80,80,808
"Mechanical behavior of spiral stirrup reinforced concrete filled square steel tubular columns under compression, Zongping Chen; Ji Zhou; Chenggui Jing; Qiuhong Tan, Engineering Structures, 2021",28.3,cube,SE9,379,22.411,0,200,200,3.51,0,800,40,40,1263
"Mechanical behavior of spiral stirrup reinforced concrete filled square steel tubular columns under compression, Zongping Chen; Ji Zhou; Chenggui Jing; Qiuhong Tan, Engineering Structures, 2021",28.3,cube,SE10,379,22.411,0,200,200,3.51,0,1200,40,40,1214
"Mechanical behavior of spiral stirrup reinforced concrete filled square steel tubular columns under compression, Zongping Chen; Ji Zhou; Chenggui Jing; Qiuhong Tan, Engineering Structures, 2021",28.3,cube,SE11,379,22.411,0,200,200,3.51,0,2000,40,40,1161
"Mechanical behavior of spiral stirrup reinforced concrete filled square steel tubular columns under compression, Zongping Chen; Ji Zhou; Chenggui Jing; Qiuhong Tan, Engineering Structures, 2021",28.3,cube,SE12,379,22.411,0,200,200,3.51,0,1600,60,60,956
"Mechanical behavior of spiral stirrup reinforced concrete filled square steel tubular columns under compression, Zongping Chen; Ji Zhou; Chenggui Jing; Qiuhong Tan, Engineering Structures, 2021",28.3,cube,SE13,379,22.411,0,200,200,3.51,0,1600,80,80,814
"Mechanical behavior of spiral stirrup reinforced concrete filled square steel tubular columns under compression, Zongping Chen; Ji Zhou; Chenggui Jing; Qiuhong Tan, Engineering Structures, 2021",28.3,cube,SE14,379,22.411,0,200,200,3.51,0,1600,100,100,709
"Mechanical behavior of spiral stirrup reinforced concrete filled square steel tubular columns under compression, Zongping Chen; Ji Zhou; Chenggui Jing; Qiuhong Tan, Engineering Structures, 2021",28.3,cube,SE15,379,22.411,0,200,200,3.51,0,1600,120,120,645
"Mechanical behavior of spiral stirrup reinforced concrete filled square steel tubular columns under compression, Zongping Chen; Ji Zhou; Chenggui Jing; Qiuhong Tan, Engineering Structures, 2021",28.3,cube,SE16,379,22.411,0,200,200,3.51,0,1600,40,40,1229
"Mechanical behavior of spiral stirrup reinforced concrete filled square steel tubular columns under compression, Zongping Chen; Ji Zhou; Chenggui Jing; Qiuhong Tan, Engineering Structures, 2021",28.3,cube,SE17,318,22.411,0,200,200,2.64,0,1600,40,40,1002
"Mechanical behavior of spiral stirrup reinforced concrete filled square steel tubular columns under compression, Zongping Chen; Ji Zhou; Chenggui Jing; Qiuhong Tan, Engineering Structures, 2021",28.3,cube,SE18,379,22.411,0,200,200,3.51,0,1600,40,40,1042
"高温后不同截面钢管混凝土轴压构件的实验研究, 姜绍飞; 刘明, Unknown, 2002",20.02,cube,B-20,265.3,15.252,0,120,120,6,0,360,0,0,1090
"高温后不同截面钢管混凝土轴压构件的实验研究, 姜绍飞; 刘明, Unknown, 2002",20.02,cube,B-200,265.3,15.252,0,120,120,6,0,360,0,0,984
"高温后不同截面钢管混凝土轴压构件的实验研究, 姜绍飞; 刘明, Unknown, 2002",20.02,cube,B-300,265.3,15.252,0,120,120,6,0,360,0,0,1008
"高温后不同截面钢管混凝土轴压构件的实验研究, 姜绍飞; 刘明, Unknown, 2002",20.02,cube,B-400,265.3,15.252,0,120,120,6,0,360,0,0,858
"高温后不同截面钢管混凝土轴压构件的实验研究, 姜绍飞; 刘明, Unknown, 2002",20.02,cube,B-500,265.3,15.252,0,120,120,6,0,360,0,0,918
"高温后不同截面钢管混凝土轴压构件的实验研究, 姜绍飞; 刘明, Unknown, 2002",20.02,cube,B-600,265.3,15.252,0,120,120,6,0,360,0,0,897
"高温后不同截面钢管混凝土轴压构件的实验研究, 姜绍飞; 刘明, Unknown, 2002",20.02,cube,B-700,265.3,15.252,0,120,120,6,0,360,0,0,673
"高温后不同截面钢管混凝土轴压构件的实验研究, 姜绍飞; 刘明, Unknown, 2002",20.02,cube,B-800,265.3,15.252,0,120,120,6,0,360,0,0,668
"高温后不同截面钢管混凝土轴压构件的实验研究, 姜绍飞; 刘明, Unknown, 2002",20.02,cube,B-900,265.3,15.252,0,120,120,6,0,360,0,0,541
"高温后不同截面钢管混凝土轴压构件的实验研究, 姜绍飞; 刘明, Unknown, 2002",39.73,cube,C-20,227.7,32.633,0,100,75,2.86,0,300,0,0,637
"高温后不同截面钢管混凝土轴压构件的实验研究, 姜绍飞; 刘明, Unknown, 2002",39.73,cube,C-100,227.7,32.633,0,100,75,2.86,0,300,0,0,578
"高温后不同截面钢管混凝土轴压构件的实验研究, 姜绍飞; 刘明, Unknown, 2002",39.73,cube,C-200,227.7,32.633,0,100,75,2.86,0,300,0,0,530
"高温后不同截面钢管混凝土轴压构件的实验研究, 姜绍飞; 刘明, Unknown, 2002",39.73,cube,C-300,227.7,32.633,0,100,75,2.86,0,300,0,0,491
"高温后不同截面钢管混凝土轴压构件的实验研究, 姜绍飞; 刘明, Unknown, 2002",39.73,cube,C-400-1,227.7,32.633,0,100,75,2.86,0,300,0,0,469
"高温后不同截面钢管混凝土轴压构件的实验研究, 姜绍飞; 刘明, Unknown, 2002",39.73,cube,C-400-2,227.7,32.633,0,100,75,2.86,0,300,0,0,430
