b (mm),h (mm),r0 (mm),t (mm),R (%),fy (MPa),fc (MPa),L (mm),e1 (mm),e2 (mm),Nexp (kN),r0/h,b/t,Ac (mm^2),As (mm^2),Re (mm),te (mm),ke,xi,sigma_re (MPa),lambda,lambda_bar,e/h,e1/e2,e_bar,Npl (kN),eta_u,r,b/h,L/h,axial_flag,section_family
111.0,111.0,0.0,3.0,0.0,723.7,130.1,333.0,0.0,0.0,2216.0,0.0,37.0,11025.0,1260.0,59.23990627251441,3.2935803707863016,0.33333333333333337,0.6357307565608872,13.411928232821165,10.3771114091521,0.176601982954026,0.0,0.0,0.0,2346.2145,0.9445001725119335,-0.05549982748806648,1.0,3.0,axial,square
126.0,126.0,0.0,3.0,0.0,723.7,130.1,378.0,0.0,0.0,2739.0,0.0,42.0,14400.0,1440.0,67.70275002573075,3.3044932467076222,0.33333333333333337,0.5562644119907764,11.774321140246249,10.380515499762828,0.17862071422247186,0.0,0.0,0.0,2915.568,0.9394395877578571,-0.060560412242142925,1.0,3.0,axial,square
141.0,141.0,0.0,3.0,0.0,723.7,130.1,423.0,0.0,0.0,3154.0,0.0,47.0,18225.0,1620.0,76.1655937789471,3.313080664687945,0.33333333333333337,0.4944572551029123,10.493261493693,10.382891523875204,0.1804165637073662,0.0,0.0,0.0,3543.4665,0.8900888437918067,-0.10991115620819325,1.0,3.0,axial,square
301.5,301.5,150.75,4.5,0.0,389.0,28.3,890.83,0.0,0.0,393.0,0.5,67.0,67195.72161717294,6412.261418477241,146.25,6.819097803234598,1.0,1.311694698313811,18.13763449885989,12.0004549410872,0.1538693611816606,0.0,0.0,0.0,4396.008613553641,0.0893992788795532,-0.9106007211204468,1.0,2.954660033167496,axial,circular
298.48,298.48,149.24,5.74,0.0,408.0,28.3,890.88,0.0,0.0,463.0,0.5,52.0,64692.46132088442,8031.925556215836,143.5,8.647597120808115,1.0,1.7899451680252498,24.58689634348231,12.171492115307347,0.15706720028332524,0.0,0.0,0.0,5107.822282317091,0.09064528372548754,-0.9093547162745125,1.0,2.9847225944786917,axial,circular
298.35,298.35,149.175,7.65,0.0,392.0,28.3,888.03,0.0,0.0,502.0,0.5,39.0,62923.982239857796,10570.303469351073,141.525,11.425834320239204,1.0,2.3268633951907107,31.647603275278346,12.207237400375167,0.15407523997887612,0.0,0.0,0.0,5924.307657373596,0.08473563984733197,-0.915264360152668,1.0,2.9764705882352938,axial,circular
297.0,297.0,148.5,11.88,0.0,355.0,28.3,877.58,0.0,0.0,603.0,0.5,25.0,58637.903534114244,15891.98413898872,136.62,17.404673551077877,1.0,3.399707910493481,45.225143541448155,12.25897339409402,0.1468499532217563,0.0,0.0,0.0,7301.107039356429,0.08259021498377495,-0.917409785016225,1.0,2.954814814814815,axial,circular
301.5,301.5,150.75,4.5,0.0,389.0,36.3,890.83,0.0,0.0,464.0,0.5,67.0,67195.72161717294,6412.261418477241,146.25,6.819097803234598,1.0,1.0226159769223377,18.13763449885989,12.0004549410872,0.15923995738837093,0.0,0.0,0.0,4933.574386491024,0.09404945859750527,-0.9059505414024948,1.0,2.954660033167496,axial,circular
298.48,298.48,149.24,5.74,0.0,408.0,33.0,890.88,0.0,0.0,523.0,0.5,52.0,64692.46132088442,8031.925556215836,143.5,8.647597120808115,1.0,1.5350135834883203,24.58689634348231,12.171492115307347,0.15977165481640684,0.0,0.0,0.0,5411.8768505252465,0.09663930175152462,-0.9033606982484754,1.0,2.9847225944786917,axial,circular
298.35,298.35,149.175,7.65,0.0,392.0,36.2,888.03,0.0,0.0,594.0,0.5,39.0,62923.982239857796,10570.303469351073,141.525,11.425834320239204,1.0,1.8190672398866603,31.647603275278346,12.207237400375167,0.157975151442213,0.0,0.0,0.0,6421.407117068473,0.0925030899257444,-0.9074969100742556,1.0,2.9764705882352938,axial,circular
297.0,297.0,148.5,11.88,0.0,355.0,36.3,877.58,0.0,0.0,594.0,0.5,25.0,58637.903534114244,15891.98413898872,136.62,17.404673551077877,1.0,2.6504609880706758,45.225143541448155,12.25897339409402,0.14995776685266618,0.0,0.0,0.0,7770.210267629343,0.07644580771187119,-0.9235541922881289,1.0,2.954814814814815,axial,circular
301.34,301.34,150.67,11.59,0.0,481.0,36.3,877.58,0.0,0.0,877.0,0.5,25.999999999999996,60768.6007868172,15778.203296733122,139.07999999999998,17.014857364257296,1.0,3.440461973879525,58.844883464249065,12.068456557918198,0.16570374949615332,0.0,0.0,0.0,9795.215994290094,0.08953350293768181,-0.9104664970623182,1.0,2.9122585783500368,axial,circular
298.48,298.48,149.24,5.74,0.0,408.0,84.1,890.88,0.0,0.0,810.0,0.5,52.0,64692.46132088442,8031.925556215836,143.5,8.647597120808115,1.0,0.6023239982772245,24.58689634348231,12.171492115307347,0.18598729419124413,0.0,0.0,0.0,8717.66162402244,0.09291482451761597,-0.907085175482384,1.0,2.9847225944786917,axial,circular
298.35,298.35,149.175,7.65,0.0,392.0,84.1,888.03,0.0,0.0,856.0,0.5,39.0,62923.982239857796,10570.303469351073,141.525,11.425834320239204,1.0,0.7829992162175637,31.647603275278346,12.207237400375167,0.17964180405412436,0.0,0.0,0.0,9435.465866357661,0.09072154063447835,-0.9092784593655217,1.0,2.9764705882352938,axial,circular
297.0,297.0,148.5,11.88,0.0,355.0,84.1,877.58,0.0,0.0,958.0,0.5,25.0,58637.903534114244,15891.98413898872,136.62,17.404673551077877,1.0,1.144015860487105,45.225143541448155,12.25897339409402,0.16754696279635206,0.0,0.0,0.0,10573.102056560005,0.09060727824958578,-0.9093927217504142,1.0,2.954814814814815,axial,circular
248.6,248.6,124.3,4.52,0.0,365.0,30.7,737.99,0.0,0.0,362.0,0.5,55.00000000000001,45073.21017266792,5278.27549430535,119.78,6.8192720035902425,1.0,1.3922847070030495,20.780049100938708,12.09398494752329,0.15259611563782746,0.0,0.0,0.0,3310.318107722358,0.10935504933967559,-0.8906449506603245,1.0,2.96858407079646,axial,circular
247.68,247.68,123.84,5.76,0.0,379.0,29.5,740.93,0.0,0.0,409.0,0.5,43.0,43802.86948407703,6637.28201420289,118.08,8.63068969313774,1.0,1.9467263318834849,27.701824133631465,12.24330146998468,0.1539217690635709,0.0,0.0,0.0,3807.714533163168,0.10741351444227963,-0.8925864855577204,1.0,2.9914809431524545,axial,circular
252.45,252.45,126.225,7.65,0.0,366.0,30.7,738.95,0.0,0.0,475.0,0.5,33.0,44170.8889207475,8864.346605769324,118.57499999999999,11.354364595445105,1.0,2.3925074549113656,35.04699508271481,12.052068877191022,0.14868231995819595,0.0,0.0,0.0,4600.397147578521,0.10325195516000667,-0.8967480448399934,1.0,2.927114280055457,axial,circular
249.69,249.69,124.845,11.89,0.0,323.0,30.7,735.66,0.0,0.0,575.0,0.5,21.0,40083.05295812618,13171.376584348769,112.955,17.242586023888705,1.0,3.457279740506861,49.30596508092649,12.2904494019165,0.14176937002894652,0.0,0.0,0.0,5484.904362559126,0.10483318613995281,-0.8951668138600472,1.0,2.9462934038207376,axial,circular
248.6,248.6,124.3,4.52,0.0,365.0,36.3,737.99,0.0,0.0,405.0,0.5,55.00000000000001,45073.21017266792,5278.27549430535,119.78,6.8192720035902425,1.0,1.1774969836086397,20.780049100938708,12.09398494752329,0.15612557227803306,0.0,0.0,0.0,3562.7280846892977,0.11367693250025834,-0.8863230674997417,1.0,2.96858407079646,axial,circular
247.68,247.68,123.84,5.76,0.0,379.0,36.4,740.93,0.0,0.0,486.0,0.5,43.0,43802.86948407703,6637.28201420289,118.08,8.63068969313774,1.0,1.5777040327077694,27.701824133631465,12.24330146998468,0.15764538154697477,0.0,0.0,0.0,4109.9543326033,0.11824948908669773,-0.8817505109133023,1.0,2.9914809431524545,axial,circular
244.8,244.8,122.4,7.65,0.0,366.0,36.3,738.95,0.0,0.0,566.0,0.5,32.0,41367.11761568445,8580.020461839034,114.75,11.339919647300036,1.0,2.091257554423906,36.16915547635567,12.438344510040524,0.15582963458240923,0.0,0.0,0.0,4641.913858482431,0.12193246519767191,-0.8780675348023281,1.0,3.01858660130719,axial,circular
249.69,249.69,124.845,11.89,0.0,323.0,36.3,735.66,0.0,0.0,630.0,0.5,21.0,40083.05295812618,13171.376584348769,112.955,17.242586023888705,1.0,2.9239252901807333,49.30596508092649,12.2904494019165,0.143804805723407,0.0,0.0,0.0,5709.369459124632,0.11034493467455378,-0.8896550653254462,1.0,2.9462934038207376,axial,circular
243.81,243.81,121.905,11.61,0.0,487.0,36.4,735.66,0.0,0.0,796.0,0.5,21.0,38217.43386875515,12558.330177561185,110.29499999999999,16.83653689969286,1.0,4.396407620210936,74.34057273811527,12.586859895675039,0.17292968023750607,0.0,0.0,0.0,7507.021389294985,0.10603406580605941,-0.8939659341939405,1.0,3.0173495754891104,axial,circular
247.68,247.68,123.84,5.76,0.0,379.0,84.1,740.93,0.0,0.0,674.0,0.5,43.0,43802.86948407703,6637.28201420289,118.08,8.63068969313774,1.0,0.6828588203396292,27.701824133631465,12.24330146998468,0.18079323128743657,0.0,0.0,0.0,6199.351206993773,0.10872105442899083,-0.8912789455710092,1.0,2.9914809431524545,axial,circular
252.45,252.45,126.225,7.65,0.0,366.0,84.1,738.95,0.0,0.0,726.0,0.5,33.0,44170.8889207475,8864.346605769324,118.57499999999999,11.354364595445105,1.0,0.8733647903184177,35.04699508271481,12.052068877191022,0.17141975974299534,0.0,0.0,0.0,6959.122615946437,0.10432349594421744,-0.8956765040557826,1.0,2.927114280055457,axial,circular
